match_id,event_slug,market_title,token_w1,token_draw,token_w2,kickoff,resolved_at
A-md1-Mexico-vs-South_Africa,fifwc-mex-rsa-2026-06-11,Mexico vs. South Africa,20779063998268474490699884714808310289659170477959115489741275295270359962039,11634144673803325466643188834337300341803737096067092239834760823912726000274,115307860962719805060784163204351769077176612029040401546976102705811910754396,2026-06-11 19:00:00+00,2026-06-13T03:49:56+00:00
A-md1-South_Korea-vs-Czech_Republic,fifwc-kr-cze-2026-06-11,Korea Republic vs. Czechia,52684921837049562400037353238223049293166344115053393981883920285480538360105,49396156480688770869378179133906823616889681020710122888263516916801618839975,77191186536909014586922022659322569099273509749066699749214305589630021269429,2026-06-12 02:00:00+00,2026-06-13T03:49:56+00:00
A-md2-Czech_Republic-vs-South_Africa,fifwc-cze-rsa-2026-06-18,Czechia vs. South Africa,37088846718363125743947103938325144949409419304219830474975395227343762118615,25547941541163379167027433013111695108245471419110558598651133766324877924515,29904085738634800807850286108673899231278214025131538572228243310371586316124,2026-06-18 16:00:00+00,2026-06-13T03:49:56+00:00
A-md2-Mexico-vs-South_Korea,fifwc-mex-kr-2026-06-18,Mexico vs. Korea Republic,84622337225923971667543390025202237459542894380445135038857655043890030217262,51958120300750633024043231741875227303543295888125840580124643399830654381246,40559900670015709472472801511880289852513956415696043408438494025364180866146,2026-06-19 01:00:00+00,2026-06-13T03:49:56+00:00
A-md3-Czech_Republic-vs-Mexico,fifwc-cze-mex-2026-06-24,Czechia vs. Mexico,75582324068408801617260879555413324403573690501232841899134550992026699982390,104735262279610516248406908690291013202167988132813028132950707551552452029652,67466148034529849001749283892995420841255740280965377423907471965663421834164,2026-06-25 01:00:00+00,2026-06-13T03:49:56+00:00
A-md3-South_Africa-vs-South_Korea,fifwc-rsa-kr-2026-06-24,South Africa vs. Korea Republic,58830526078196302612867530222421263708170468828968028907746961007548153805793,103052895473654725211234208718417485025769469987098102360162412805062007216205,78041669573197271831143243516603089617333411410934465631182277350983388128942,2026-06-25 01:00:00+00,2026-06-13T03:49:56+00:00
B-md1-Canada-vs-Bosnia_and_Herzegovina,fifwc-can-bih-2026-06-12,Canada vs. Bosnia-Herzegovina,94742454704773778167568688948405770414791647129006368131301932311609594298387,22172667310022772208699373598096867628027942277851933544696144873879741224440,74187637053502514449598313026757559914734686113697608141302796666649587118979,2026-06-12 19:00:00+00,2026-06-13T03:49:56+00:00
B-md1-Qatar-vs-Switzerland,fifwc-qat-che-2026-06-13,Qatar vs. Switzerland,87801481723150143095656392688212600042782229576502495783917440071310994656016,84958042326881081629130565587739718054426374664464529827722909775907948361787,66066640081366099233010777058886646300763486736056057848435195209438713673265,2026-06-13 19:00:00+00,2026-06-13T03:49:56+00:00
B-md2-Canada-vs-Qatar,fifwc-can-qat-2026-06-18,Canada vs. Qatar,72434460309427898004674696764153066565237298072408402131497058701161364650505,20349696283279625969179471671979665049068091025127882278606364235785111743882,12449312449220028732329011560175624873500857403580896927070982513454645477597,2026-06-18 22:00:00+00,2026-06-13T03:49:56+00:00
B-md2-Switzerland-vs-Bosnia_and_Herzegovina,fifwc-che-bih-2026-06-18,Switzerland vs. Bosnia-Herzegovina,106591280142630626115724651117201657682325101150171422307265130569697670708657,32304224949031261019227504618353662335004029148594248531414917789977278987468,66489726367925595502503158446006075400401621519147621264189323965755835894613,2026-06-18 19:00:00+00,2026-06-13T03:49:56+00:00
B-md3-Bosnia_and_Herzegovina-vs-Qatar,fifwc-bih-qat-2026-06-24,Bosnia-Herzegovina vs. Qatar,4925888325464503545476254709875431093074337031801188092359865362530954679246,41091023424245040139527172073533600163970138599488326259532662687088517955772,89402197250849053016718398593367058168289729633872183585442421218420206745943,2026-06-24 19:00:00+00,2026-06-13T03:49:56+00:00
B-md3-Switzerland-vs-Canada,fifwc-che-can-2026-06-24,Switzerland vs. Canada,47959944460657228985055674449790383802464381124119024576562949363346901336433,37383901604222109615025559390838815185792875162240758491134459674611890551849,11943790724298456336310029997668350808838445628633810142424962411400618768716,2026-06-24 19:00:00+00,2026-06-13T03:49:56+00:00
C-md1-Brazil-vs-Morocco,fifwc-bra-mar-2026-06-13,Brazil vs. Morocco,105492577477219588134242978490999229511934661984574714868659540712157271273221,28514355574680631350512719849093140985552525989838015190207068633860196282876,75153795433255397954364392370254909445351765396945509274877503457182682318715,2026-06-13 22:00:00+00,2026-06-13T03:49:56+00:00
